# STATION: 001HI
# STATION NAME: Kula Ag
# LATITUDE: 20.75790
# LONGITUDE: -156.32000
# ELEVATION [ft]: 3163.0
# STATE: HI
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,soil_temp_set_1,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Celsius,%,m/s,Degrees,m/s,W/m**2,Celsius,Millimeters,%,%,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius
001HI,2024-01-15T10:05:00Z,13.5,66.13,0.612,142.8,0.947,0.0,16.128,0.0,31.9,45.0,12.53,-75.53,-3.64,-71.88,0.32,285.02,356.9,,SE,,7.25
001HI,2024-01-15T10:10:00Z,13.189,70.73,0.725,148.8,1.142,0.0,16.1,0.0,31.9,45.0,12.53,-77.51,-4.23,-73.28,0.42,284.58,357.86,,SSE,,7.94
001HI,2024-01-15T10:15:00Z,12.811,71.89,0.689,145.2,1.209,0.0,16.072,0.0,31.9,45.0,12.52,-77.84,-4.44,-73.4,0.58,284.42,357.82,,SE,,7.82
001HI,2024-01-15T10:20:00Z,12.861,71.25,0.54,134.7,1.111,,16.039,0.0,31.9,45.0,12.52,-77.64,-4.29,-73.35,0.89,284.55,357.9,,SE,,7.73
001HI,2024-01-15T10:25:00Z,12.85,67.57,0.622,126.6,1.08,0.0,16.022,0.0,31.9,45.0,12.52,-75.03,-3.45,-71.58,0.93,285.46,357.04,,SE,,6.94
001HI,2024-01-15T10:30:00Z,13.022,67.72,0.694,135.0,1.276,0.0,15.989,0.0,31.9,45.0,12.52,-75.13,-3.46,-71.68,0.77,285.53,357.21,,SE,,7.14
001HI,2024-01-15T10:35:00Z,13.178,70.79,0.658,159.9,1.471,0.0,15.961,0.0,31.9,45.0,12.52,-78.07,-4.28,-73.8,1.42,284.16,357.95,,SSE,,7.94
001HI,2024-01-15T10:40:00Z,12.989,70.4,0.622,153.4,0.977,0.0,15.928,0.0,31.9,45.0,12.51,-78.21,-4.52,-73.69,0.86,283.56,357.26,,SSE,,7.68
001HI,2024-01-15T10:45:00Z,12.911,70.41,0.52,144.4,0.977,0.0,15.9,0.0,31.9,45.0,12.51,-77.56,-4.04,-73.52,0.86,283.75,357.27,,SE,,7.61
001HI,2024-01-15T10:50:00Z,12.872,71.22,0.731,145.0,1.111,0.0,15.878,0.0,31.9,45.0,12.51,-77.66,-4.13,-73.54,0.82,283.87,357.41,,SE,,7.74
001HI,2024-01-15T10:55:00Z,12.828,72.05,0.607,135.2,0.947,0.0,15.85,0.0,31.9,45.0,12.42,-76.93,-4.05,-72.88,0.73,283.93,356.81,,SE,,7.87
001HI,2024-01-15T11:00:00Z,12.85,71.14,0.35,112.5,0.782,0.0,15.828,0.0,31.9,45.0,12.42,-74.15,-2.97,-71.18,0.93,284.67,355.85,,ESE,,7.7
001HI,2024-01-15T11:05:00Z,13.028,72.11,0.288,133.2,0.72,0.0,15.811,0.0,31.9,45.0,12.42,-74.24,-3.47,-70.77,1.17,284.48,355.25,,SE,,8.07
001HI,2024-01-15T11:10:00Z,12.9,72.59,0.736,131.3,1.142,0.0,15.778,0.0,31.9,45.0,12.41,-74.72,-3.62,-71.1,0.2,284.33,355.43,,SE,,8.05
001HI,2024-01-15T11:15:00Z,12.65,72.8,0.741,138.3,1.471,0.0,15.75,0.0,31.9,45.0,12.41,-76.2,-3.78,-72.42,0.25,283.88,356.3,,SE,,7.85
001HI,2024-01-15T11:20:00Z,12.611,71.18,0.535,152.2,1.178,0.0,15.728,0.0,31.9,44.9,12.41,-76.91,-4.22,-72.7,0.87,283.43,356.12,,SSE,,7.48
001HI,2024-01-15T11:25:00Z,12.389,71.88,0.571,150.6,0.947,0.0,15.711,0.0,31.9,44.9,12.41,-75.7,-4.43,-71.27,0.02,282.89,354.15,,SSE,,7.41
001HI,2024-01-15T11:30:00Z,11.878,73.91,0.715,140.2,1.178,0.0,15.7,0.0,31.9,44.9,12.41,-74.99,-4.1,-70.9,0.0,283.15,354.05,,SE,,7.33
001HI,2024-01-15T11:35:00Z,12.122,71.05,0.7,122.6,1.142,0.0,15.678,0.0,31.9,44.9,12.41,-74.74,-3.23,-71.51,0.92,283.67,355.18,,ESE,,6.98
001HI,2024-01-15T11:40:00Z,12.25,67.05,0.977,105.8,1.276,0.0,15.661,0.0,31.9,44.9,12.4,-71.92,-2.75,-69.17,0.69,284.43,353.6,,ESE,,6.25
001HI,2024-01-15T11:45:00Z,11.822,65.35,0.921,113.0,1.276,0.0,15.639,0.0,31.9,44.9,12.41,-70.53,-2.85,-67.68,0.26,285.21,352.89,,ESE,,5.47
001HI,2024-01-15T11:50:00Z,11.661,66.74,0.818,130.2,1.435,0.0,15.628,0.0,31.9,44.9,12.41,-71.6,-3.38,-68.22,0.12,284.72,352.94,,SE,,5.62
001HI,2024-01-15T11:55:00Z,12.111,63.99,0.458,118.3,0.916,0.0,15.6,0.0,31.9,44.9,12.41,-70.02,-2.7,-67.32,1.1,285.6,352.93,,ESE,,5.44
001HI,2024-01-15T12:00:00Z,12.578,61.59,0.55,110.7,0.947,0.0,15.561,0.0,31.9,44.9,12.41,-70.06,-2.25,-67.8,1.28,285.04,352.84,,ESE,,5.33
001HI,2024-01-15T12:05:00Z,12.822,60.09,0.72,113.2,1.142,0.0,15.528,0.0,31.9,44.9,12.49,-70.34,-2.41,-67.93,1.33,284.59,352.52,,ESE,,5.2
001HI,2024-01-15T12:10:00Z,12.961,63.8,0.448,143.7,1.013,0.0,15.5,0.0,31.9,44.9,12.49,-72.43,-3.21,-69.22,1.19,283.56,352.78,,SE,,6.21
001HI,2024-01-15T12:15:00Z,13.078,68.52,0.34,136.3,0.751,0.0,15.461,0.0,31.9,44.9,12.49,-72.92,-3.25,-69.67,0.84,283.16,352.84,,SE,,7.37
001HI,2024-01-15T12:20:00Z,12.961,70.51,0.37,135.6,0.782,0.0,15.428,0.0,31.8,44.9,12.48,-74.01,-3.53,-70.48,0.68,282.97,353.45,,SE,,7.68
001HI,2024-01-15T12:25:00Z,12.861,73.34,0.566,140.9,0.977,0.0,15.389,0.0,31.8,44.9,12.48,-74.83,-3.83,-71.0,0.83,283.18,354.17,,SE,,8.16
001HI,2024-01-15T12:30:00Z,12.7,78.84,0.725,134.4,1.178,0.0,15.361,0.0,31.9,44.9,12.47,-75.94,-3.86,-72.08,0.45,283.1,355.18,,SE,,9.09
