# STATION: 020HI
# STATION NAME: Waikamoi
# LATITUDE: 20.7736
# LONGITUDE: -156.2223
# ELEVATION [ft]: 6348.0
# STATE: HI
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,soil_temp_set_1,soil_temp_set_2,soil_temp_set_3,soil_temp_set_4,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,W/m**2,Celsius,Celsius,Celsius,Celsius,Millimeters,%,%,%,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
020HI,2024-01-15T10:00:00Z,,,,,,,,,,,,,,,,12.83,,,,,,,,,,,,None,
020HI,2024-01-15T10:05:00Z,80630.0,10.85,42.39,2.495,205.9,2.886,0.0,8.189,12.089,,10.122,0.0,49.9,56.5,53.7,12.83,-77.98,-4.21,-73.76,0.0,268.29,342.06,,SSW,,-1.54,101958.07,101247.86,
020HI,2024-01-15T10:10:00Z,80630.0,10.611,42.57,2.541,208.8,3.39,0.0,8.167,12.072,,10.089,0.0,49.9,56.5,53.7,12.83,-78.6,-4.31,-74.29,0.0,267.65,341.94,,SSW,,-1.7,101958.07,101266.87,
020HI,2024-01-15T10:15:00Z,80630.0,10.589,42.74,2.598,206.1,3.277,0.0,8.133,12.022,,10.061,0.0,49.9,56.5,53.7,12.82,-78.5,-4.34,-74.16,0.0,267.82,341.97,,SSW,,-1.66,101958.07,101268.62,
020HI,2024-01-15T10:20:00Z,80630.0,10.472,42.13,2.706,209.6,3.442,0.0,8.139,12.061,,10.061,0.0,49.9,56.5,53.7,12.82,-79.13,-4.31,-74.81,0.05,267.71,342.52,,SSW,,-1.96,101958.07,101277.95,
020HI,2024-01-15T10:25:00Z,80620.0,10.878,40.27,2.413,211.8,3.442,0.0,8.111,12.061,,10.072,0.0,49.9,56.5,53.7,12.82,-79.23,-4.35,-74.88,0.52,267.88,342.76,,SSW,,-2.21,101945.42,101233.12,
020HI,2024-01-15T10:30:00Z,80620.0,11.089,39.68,2.279,210.0,,0.0,8.05,12.028,,10.039,0.0,49.9,56.5,53.7,12.82,-78.84,-4.46,-74.38,0.37,268.13,342.51,,SSW,,-2.22,101945.42,101216.38,
020HI,2024-01-15T10:35:00Z,80610.0,10.911,40.8,2.269,208.4,2.886,0.0,7.978,12.0,,9.978,0.0,49.9,56.5,53.7,12.82,-77.32,-4.23,-73.09,0.0,268.23,341.32,,SSW,,-2.0,101932.78,101217.93,
020HI,2024-01-15T10:40:00Z,80610.0,11.178,39.59,2.171,211.9,2.886,0.0,7.939,11.989,,9.95,0.0,49.9,56.5,53.7,12.82,-77.04,-4.06,-72.98,0.17,267.96,340.94,,SSW,,-2.17,101932.78,101196.77,
020HI,2024-01-15T10:45:00Z,80610.0,11.15,40.74,2.166,208.7,2.886,0.0,7.911,11.978,,9.911,0.0,49.9,56.5,53.7,12.81,-78.06,-4.26,-73.8,0.0,267.54,341.34,,SSW,,-1.81,101932.78,101198.97,
020HI,2024-01-15T10:50:00Z,80610.0,11.011,41.11,2.202,209.4,2.778,0.0,7.9,11.961,,9.9,0.0,49.9,56.5,53.7,12.81,-78.38,-4.37,-74.0,0.0,267.27,341.27,,SSW,,-1.81,101932.78,101209.99,
020HI,2024-01-15T10:55:00Z,80600.0,10.972,41.05,2.156,211.1,2.778,0.0,7.861,11.939,,9.911,0.0,49.9,56.5,53.7,12.81,-78.93,-4.4,-74.53,0.0,266.79,341.33,,SSW,,-1.86,101920.13,101200.53,
020HI,2024-01-15T11:00:00Z,80600.0,10.872,41.44,2.212,210.2,2.829,0.0,7.817,11.939,,9.872,0.0,49.9,56.5,53.7,12.81,-79.18,-4.49,-74.7,0.0,266.29,340.99,,SSW,,-1.83,101920.13,101208.46,
020HI,2024-01-15T11:05:00Z,80600.0,10.611,42.57,2.351,208.0,3.164,0.0,7.8,11.9,,9.839,0.0,49.9,56.5,53.7,12.81,-79.91,-4.49,-75.41,0.0,265.9,341.31,,SSW,,-1.7,101920.13,101229.19,
020HI,2024-01-15T11:10:00Z,80600.0,10.722,41.78,2.325,208.2,3.22,0.0,7.811,11.911,,9.8,0.0,49.9,56.5,53.7,12.81,-80.75,-4.57,-76.19,0.11,265.55,341.74,,SSW,,-1.85,101920.13,101220.37,
020HI,2024-01-15T11:15:00Z,80590.0,10.6,42.54,2.402,208.8,,0.0,7.772,11.889,,9.789,0.0,49.9,56.5,53.7,12.81,-80.99,-4.65,-76.33,0.09,265.08,341.42,,SSW,,-1.72,101907.49,101217.51,
020HI,2024-01-15T11:20:00Z,80590.0,10.411,43.25,2.48,206.9,3.22,0.0,7.733,11.861,,9.772,0.0,49.9,56.5,53.7,12.81,-81.47,-4.75,-76.72,0.08,264.85,341.57,,SSW,,-1.66,101907.49,101232.55,
020HI,2024-01-15T11:25:00Z,80580.0,10.461,42.97,2.341,209.7,2.943,0.0,7.728,11.839,,9.761,0.0,49.9,56.5,53.6,12.81,-81.92,-4.69,-77.23,0.22,264.73,341.96,,SSW,,-1.7,101894.84,101216.01,
020HI,2024-01-15T11:30:00Z,80590.0,10.461,43.05,2.228,210.8,3.112,0.0,7.683,11.839,,9.689,0.0,49.9,56.5,53.6,12.81,-80.53,-4.57,-75.95,0.0,264.83,340.78,,SSW,,-1.68,101907.49,101228.56,
020HI,2024-01-15T11:35:00Z,80590.0,10.161,44.63,2.228,207.9,2.665,0.0,7.6,11.8,,9.689,0.0,49.9,56.5,53.6,12.8,-79.21,-4.51,-74.7,0.0,264.78,339.48,,SSW,,-1.46,101907.49,101252.47,
020HI,2024-01-15T11:40:00Z,80590.0,9.928,45.32,2.397,207.4,3.112,0.0,7.583,11.8,,9.678,0.0,49.9,56.5,53.6,12.75,-79.15,-4.43,-74.72,0.0,264.7,339.43,,SSW,,-1.46,101907.49,101271.08,
020HI,2024-01-15T11:45:00Z,80580.0,10.05,44.47,2.495,206.1,3.334,0.0,7.594,11.778,,9.661,0.0,49.9,56.5,53.6,12.8,-81.31,-4.71,,0.39,264.21,340.81,,SSW,,-1.61,101894.84,101248.77,
020HI,2024-01-15T11:50:00Z,80570.0,10.228,43.83,2.516,208.2,3.22,0.0,7.589,11.75,,9.622,0.0,49.9,56.5,53.6,12.8,-82.66,-4.76,-77.9,0.62,263.79,341.68,,SSW,,-1.65,101882.2,101222.0,
020HI,2024-01-15T11:55:00Z,80570.0,10.439,42.87,2.31,210.3,2.943,0.0,7.567,11.739,,9.6,0.0,49.9,56.5,53.6,12.8,-81.9,-4.63,-77.27,0.52,263.85,341.12,,SSW,,-1.76,101882.2,101205.2,
020HI,2024-01-15T12:00:00Z,80580.0,10.272,43.72,2.264,209.1,3.056,0.0,7.483,11.728,,9.572,0.0,49.9,56.5,53.6,12.8,-80.47,-4.6,-75.87,0.07,264.17,340.04,,SSW,,-1.64,101894.84,101231.06,
020HI,2024-01-15T12:05:00Z,80580.0,10.239,43.31,2.017,210.6,2.943,0.0,7.439,11.711,,9.589,0.0,49.9,56.5,53.6,12.79,-79.56,-4.58,-74.98,0.0,264.14,339.12,,SSW,,-1.8,101894.84,101233.7,
020HI,2024-01-15T12:10:00Z,80570.0,9.8,45.81,2.279,207.3,2.721,0.0,7.394,11.678,,9.539,0.0,49.9,56.5,53.6,12.8,-78.54,-4.47,-74.07,0.0,263.87,337.94,,SSW,,-1.43,101882.2,101256.18,
020HI,2024-01-15T12:15:00Z,80560.0,9.75,45.46,2.222,210.4,2.886,0.0,7.378,11.678,,9.522,0.0,49.9,56.5,53.6,12.79,-79.36,-4.35,-75.0,0.0,263.15,338.15,,SSW,,-1.58,101869.55,101247.62,
020HI,2024-01-15T12:20:00Z,80560.0,9.761,46.12,2.15,210.0,2.886,0.0,7.35,11.65,,9.472,0.0,49.9,56.5,53.6,12.79,-80.48,-4.63,-75.85,0.15,262.78,338.63,,SSW,,-1.38,101869.55,101246.73,
020HI,2024-01-15T12:25:00Z,80560.0,9.85,45.71,2.145,211.1,3.164,0.0,7.344,11.65,,9.461,0.0,49.9,56.5,53.6,12.79,-81.31,-4.77,-76.54,0.35,262.73,339.27,,SSW,,-1.42,101869.55,101239.61,
020HI,2024-01-15T12:30:00Z,80550.0,9.811,45.9,2.351,209.0,3.39,0.0,7.328,11.622,,9.439,0.0,49.9,56.5,53.6,12.79,-81.02,-4.7,-76.32,0.25,263.07,339.39,,SSW,,-1.4,101856.91,101230.16,
020HI,2024-01-15T12:35:00Z,80540.0,9.739,46.2,2.212,206.3,,0.0,7.289,11.611,,9.439,0.0,49.9,56.5,53.6,12.79,-80.34,-4.67,-75.66,0.26,263.04,338.71,,SSW,,-1.37,101844.26,101223.35,
020HI,2024-01-15T12:40:00Z,80540.0,9.661,46.9,2.176,207.3,2.943,0.0,7.261,11.578,,9.428,0.0,49.9,56.5,53.6,12.79,-80.37,-4.68,-75.69,0.31,262.85,338.54,,SSW,,-1.24,101844.26,101229.59,
020HI,2024-01-15T12:45:00Z,80540.0,9.722,46.13,2.001,213.3,2.721,0.0,7.222,11.578,,9.361,0.0,49.9,56.5,53.6,12.79,-80.82,-4.82,-76.0,0.56,262.75,338.75,,SSW,,-1.41,101844.26,101224.71,
020HI,2024-01-15T12:50:00Z,80540.0,9.939,45.16,2.042,213.5,2.778,0.0,7.194,11.561,,9.372,0.0,49.9,56.5,53.6,12.78,-81.26,-4.79,-76.47,0.76,262.66,339.12,,SSW,,-1.5,101844.26,101207.37,
020HI,2024-01-15T12:55:00Z,80530.0,10.172,43.69,2.387,210.2,3.663,0.0,7.217,11.539,,9.322,0.0,49.9,56.5,53.6,12.78,-82.21,-4.71,-77.5,0.85,263.06,340.56,,SSW,,-1.74,101831.62,101176.22,
020HI,2024-01-15T13:00:00Z,80530.0,10.3,43.14,2.192,211.4,3.164,0.0,7.239,11.539,,9.322,0.0,49.9,56.5,53.6,12.78,-82.84,-4.77,-78.08,0.73,263.41,341.49,,SSW,,-1.8,101831.62,101166.02,
020HI,2024-01-15T13:05:00Z,80520.0,10.528,42.5,2.526,209.5,4.054,0.0,7.244,11.5,,9.289,0.0,49.9,56.5,53.6,12.78,-84.32,-4.72,-79.59,0.88,263.41,343.01,,SSW,,-1.79,101818.97,101135.32,
020HI,2024-01-15T13:10:00Z,80520.0,10.728,41.79,2.366,210.6,4.332,0.0,7.25,11.489,,9.3,0.0,49.9,56.5,53.6,12.78,-85.21,-4.98,-80.23,0.99,263.83,344.05,,SSW,,-1.84,101818.97,101119.43,
020HI,2024-01-15T13:15:00Z,80530.0,10.922,40.77,1.924,215.6,2.886,0.0,7.189,11.511,,9.261,0.0,49.9,56.5,53.6,12.78,-84.37,-5.09,-79.29,1.02,264.3,343.59,,SW,,-2.0,101831.62,101116.61,
020HI,2024-01-15T13:20:00Z,80530.0,10.922,40.73,1.775,214.6,2.665,0.0,7.106,11.478,,9.25,0.0,49.9,56.5,53.6,12.78,-82.16,-4.95,-77.21,0.56,264.6,341.81,,SW,,-2.02,101831.62,101116.61,
020HI,2024-01-15T13:25:00Z,80530.0,10.828,40.89,1.991,214.2,3.112,0.0,7.072,11.478,,9.211,0.0,49.9,56.5,53.6,12.78,-82.88,-4.98,-77.89,0.69,264.43,342.32,,SW,,-2.05,101831.62,101124.06,
020HI,2024-01-15T13:30:00Z,80530.0,10.811,41.72,2.228,209.3,3.164,0.0,7.089,11.439,,9.189,0.0,49.9,56.5,53.6,12.78,-84.15,-5.01,-79.14,0.42,263.84,342.98,,SSW,,-1.79,101831.62,101125.4,
020HI,2024-01-15T13:35:00Z,80530.0,10.628,42.24,2.233,211.2,3.277,0.0,7.067,11.422,,9.139,0.0,49.9,56.5,53.6,12.78,-83.81,-4.86,-78.95,0.09,263.31,342.26,,SSW,,-1.79,101831.62,101139.93,
020HI,2024-01-15T13:40:00Z,80530.0,10.489,42.41,2.222,210.6,3.442,0.0,7.039,11.389,,9.139,0.0,49.9,56.5,53.6,12.77,-84.04,-5.03,-79.01,0.25,263.35,342.36,,SSW,,-1.86,101831.62,101150.98,
020HI,2024-01-15T13:45:00Z,80540.0,10.528,41.48,1.888,214.7,2.778,0.0,7.011,11.389,,9.122,0.0,49.9,56.5,53.6,12.77,-83.48,-5.02,-78.46,0.43,263.38,341.84,,SW,,-2.13,101844.26,101160.45,
020HI,2024-01-15T13:50:00Z,80540.0,10.711,41.33,2.078,213.2,3.112,0.0,6.989,11.361,,9.122,0.0,49.9,56.5,53.6,12.77,-83.46,-5.01,-78.46,0.71,263.4,341.86,,SSW,,-2.01,101844.26,101145.91,
020HI,2024-01-15T13:55:00Z,80540.0,10.461,42.17,2.418,208.3,3.719,0.0,6.994,11.372,,9.111,0.0,49.9,56.4,53.6,12.77,-84.54,-5.06,-79.48,0.22,262.75,342.23,,SSW,,-1.96,101844.26,101165.78,
020HI,2024-01-15T14:00:00Z,80540.0,10.45,41.94,2.438,210.5,3.776,0.0,7.017,11.361,,9.078,0.0,49.9,56.4,53.6,12.77,-85.72,-5.03,-80.69,0.55,262.35,343.03,,SSW,,-2.05,101844.26,101166.66,
020HI,2024-01-15T14:05:00Z,80540.0,10.422,42.04,2.197,210.2,3.056,0.0,6.978,11.339,,9.072,0.0,49.9,56.4,53.6,12.77,-85.5,-5.11,-80.39,0.38,262.22,342.61,,SSW,,-2.04,101844.26,101168.88,
020HI,2024-01-15T14:10:00Z,80540.0,10.289,42.03,2.15,211.1,3.056,0.0,6.922,11.311,,9.061,0.0,49.9,56.4,53.5,12.77,-84.98,-5.09,-79.89,0.31,261.97,341.86,,SSW,,-2.16,101844.26,101179.48,
020HI,2024-01-15T14:15:00Z,80540.0,10.439,40.75,1.996,215.2,3.334,0.0,6.906,11.278,,9.039,0.0,49.9,56.4,53.5,12.76,-84.88,-5.08,-79.8,0.71,261.97,341.77,,SW,,-2.45,101844.26,101167.55,
020HI,2024-01-15T14:20:00Z,80540.0,10.572,40.33,1.986,215.8,3.056,0.0,6.844,11.278,,8.978,0.0,49.9,56.4,53.5,12.77,-84.71,-5.11,-79.6,0.91,261.52,341.13,,SW,,-2.47,101844.26,101156.97,
020HI,2024-01-15T14:25:00Z,80540.0,10.5,40.43,1.873,215.8,2.886,0.0,6.811,11.261,,8.978,0.0,49.9,56.4,53.5,12.77,-84.93,-5.22,-79.71,0.56,261.03,340.74,,SW,,-2.5,101844.26,101162.7,
020HI,2024-01-15T14:30:00Z,80540.0,10.461,40.53,2.14,211.1,2.829,0.0,6.794,11.272,,8.978,0.0,49.9,56.4,53.5,12.76,-86.23,-5.15,-81.08,0.53,260.39,341.47,,SSW,,-2.5,101844.26,101165.8,
020HI,2024-01-15T14:35:00Z,80540.0,10.478,40.24,2.279,212.3,3.611,0.0,6.833,11.239,,8.95,0.0,49.9,56.4,53.5,12.76,-87.53,-5.16,-82.36,0.6,260.04,342.4,,SSW,,-2.58,101844.26,101164.46,
020HI,2024-01-15T14:40:00Z,80540.0,10.4,40.47,2.15,214.5,3.056,0.0,6.778,11.211,,8.939,0.0,49.9,56.4,53.5,12.76,-87.21,-5.3,-81.91,0.41,259.95,341.86,,SW,,-2.58,101844.26,101170.66,
020HI,2024-01-15T14:45:00Z,80540.0,10.45,40.18,2.387,208.9,3.334,0.0,6.8,11.211,,8.939,0.0,49.9,56.4,53.5,12.76,-87.64,-5.12,-82.52,0.63,260.19,342.71,,SSW,,-2.63,101844.26,101166.69,
020HI,2024-01-15T14:50:00Z,80540.0,10.472,39.82,2.495,211.1,4.887,0.0,6.817,11.178,,8.9,0.0,49.9,56.4,53.5,12.76,-88.31,-5.22,-83.09,0.79,260.36,343.45,,SSW,,-2.73,101844.26,101164.94,
020HI,2024-01-15T14:55:00Z,80540.0,10.522,39.08,2.613,210.0,4.054,0.0,6.789,11.172,,8.889,0.0,49.9,56.4,53.5,12.76,-87.91,-5.14,-82.77,0.67,260.56,343.33,,SSW,,-2.94,101844.26,101160.97,
020HI,2024-01-15T15:00:00Z,80540.0,10.678,37.97,2.552,210.0,3.498,0.0,6.778,11.128,,8.878,0.0,49.9,56.4,53.5,12.76,-88.28,-5.17,-83.1,0.7,260.71,343.81,,SSW,,-3.19,101844.26,101148.59,
020HI,2024-01-15T15:05:00Z,80530.0,10.928,36.25,2.721,209.8,3.833,0.0,6.817,11.122,,8.872,0.0,49.9,56.4,53.5,12.76,-90.02,-5.26,-84.75,1.05,260.87,345.62,,SSW,,-3.59,101831.62,101116.21,
020HI,2024-01-15T15:10:00Z,80530.0,11.111,35.7,2.562,206.7,4.275,0.0,6.789,11.139,,8.861,0.0,49.9,56.4,53.5,12.76,-89.69,-5.51,-84.18,1.11,261.27,345.44,,SSW,,-3.63,101831.62,101101.72,
020HI,2024-01-15T15:15:00Z,80530.0,11.161,34.91,2.649,213.7,4.11,0.0,6.756,11.111,,8.839,0.0,49.9,56.4,53.5,12.76,-88.74,-5.16,-83.58,0.62,261.69,345.27,,SSW,,-3.88,101831.62,101097.77,
020HI,2024-01-15T15:20:00Z,80540.0,11.572,33.46,2.752,209.8,4.054,0.0,6.8,11.111,,8.8,0.0,49.9,56.4,53.5,12.76,-90.35,-5.22,-85.13,1.13,262.12,347.24,,SSW,,-4.08,101844.26,101077.86,
020HI,2024-01-15T15:25:00Z,80540.0,11.5,33.91,2.546,210.7,3.941,0.0,6.728,11.111,,8.778,0.0,49.9,56.4,53.5,12.76,-89.97,-5.39,-84.58,0.61,261.98,346.56,,SSW,,-3.97,101844.26,101083.54,
020HI,2024-01-15T15:30:00Z,80540.0,11.639,32.93,2.716,208.2,4.275,0.0,6.761,11.1,,8.772,0.0,49.9,56.4,53.5,12.75,-90.88,-5.41,-85.47,0.78,262.36,347.83,,SSW,,-4.24,101844.26,101072.58,
020HI,2024-01-15T15:35:00Z,80540.0,11.628,32.86,2.809,208.5,4.388,0.0,6.772,11.089,,8.739,0.0,49.9,56.4,53.5,12.75,-91.16,-5.41,-85.75,0.61,262.49,348.25,,SSW,,-4.28,101844.26,101073.45,
020HI,2024-01-15T15:40:00Z,80540.0,11.828,32.11,2.727,211.7,4.167,0.0,6.778,11.039,,8.772,0.0,49.9,56.4,53.5,12.75,-91.98,-5.39,-86.6,0.89,262.77,349.37,,SSW,,-4.41,101844.26,101057.7,
020HI,2024-01-15T15:45:00Z,80540.0,11.928,31.76,2.783,211.3,3.997,0.0,6.761,11.028,,8.728,0.0,49.9,56.4,53.5,12.75,-91.57,-5.34,-86.23,0.62,262.9,349.14,,SSW,,-4.47,101844.26,101049.83,
020HI,2024-01-15T15:50:00Z,80540.0,12.061,31.44,2.979,206.6,5.0,0.0,6.806,11.011,,8.722,0.0,49.9,56.4,53.5,12.75,-92.9,-5.44,-87.46,0.77,263.1,350.56,,SSW,,-4.48,101844.26,101039.37,
020HI,2024-01-15T15:55:00Z,80540.0,12.172,31.07,2.531,208.5,3.997,0.0,6.8,10.989,,8.711,0.0,49.9,56.4,53.5,12.75,-92.63,-5.58,-87.05,0.7,263.4,350.45,,SSW,,-4.54,101844.26,101030.65,
020HI,2024-01-15T16:00:00Z,80540.0,11.978,31.5,2.67,209.3,4.666,0.0,6.728,10.989,,8.7,0.0,49.9,56.4,53.5,12.75,-91.47,-5.5,-85.97,0.33,263.26,349.22,,SSW,,-4.53,101844.26,101045.9,
020HI,2024-01-15T16:05:00Z,80550.0,11.922,31.55,2.742,207.3,4.054,0.0,6.722,10.972,,8.678,0.0,49.9,56.4,53.5,12.75,-91.47,-5.44,-86.03,,263.2,349.23,,SSW,,-4.56,101856.91,101062.85,
020HI,2024-01-15T16:10:00Z,80550.0,11.889,31.64,2.655,208.3,4.275,0.0,6.717,10.95,,8.639,0.0,49.9,56.4,53.5,12.75,-91.58,-5.42,-86.16,0.35,262.96,349.12,,SSW,,-4.55,101856.91,101065.45,
020HI,2024-01-15T16:15:00Z,80560.0,11.878,31.47,2.634,208.5,3.833,0.0,6.7,10.911,,8.65,0.0,49.9,56.4,53.5,12.75,-91.84,-5.54,-86.3,0.48,262.39,348.69,,SSW,,-4.63,101869.55,101078.87,
020HI,2024-01-15T16:20:00Z,80560.0,11.822,31.42,2.49,211.0,3.555,0.0,6.678,10.95,,8.65,0.0,49.9,56.4,53.5,12.74,-91.35,-5.44,-85.91,0.36,262.43,348.34,,SSW,,-4.7,101869.55,101083.28,
020HI,2024-01-15T16:25:00Z,80560.0,11.778,31.52,2.536,211.9,3.555,0.0,6.633,10.928,,8.572,0.0,49.9,56.4,53.5,12.75,-90.64,-5.28,-85.35,0.18,262.44,347.8,,SSW,,-4.7,101869.55,101086.74,
020HI,2024-01-15T16:30:00Z,80560.0,11.739,31.54,2.675,208.5,4.275,0.0,6.639,10.911,,8.561,0.0,49.9,56.4,53.5,12.75,-90.71,-5.28,-85.42,0.3,262.34,347.77,,SSW,,-4.72,101869.55,101089.82,
020HI,2024-01-15T16:35:00Z,80560.0,11.678,31.63,2.649,210.3,4.167,0.0,6.622,10.861,,8.589,0.0,49.9,56.4,53.4,12.74,-90.35,-5.34,-85.0,0.26,262.51,347.51,,SSW,,-4.74,101869.55,101094.63,
020HI,2024-01-15T16:40:00Z,80560.0,11.8,30.92,2.619,210.1,3.719,0.0,6.628,10.872,,8.589,0.0,49.9,56.4,53.4,12.74,-90.58,-5.18,-85.4,0.55,262.52,347.92,,SSW,,-4.93,101869.55,101085.02,
020HI,2024-01-15T16:45:00Z,80560.0,11.75,30.17,2.691,209.0,3.889,0.0,6.583,10.878,,8.572,0.0,49.9,56.4,53.4,12.74,-90.05,-5.09,-84.96,0.43,262.42,347.38,,SSW,,-5.3,101869.55,101088.98,
020HI,2024-01-15T16:50:00Z,80570.0,11.689,29.24,2.521,212.4,3.555,0.0,6.561,10.839,,8.528,0.0,49.9,56.4,53.4,12.74,-89.11,-4.85,-84.25,0.19,262.35,346.61,,SSW,,-5.77,101882.2,101106.35,
020HI,2024-01-15T16:55:00Z,80570.0,11.428,29.55,2.778,206.0,3.941,0.0,6.494,10.85,,8.589,0.0,49.9,56.4,53.4,12.74,-87.64,-4.25,-83.39,0.19,262.03,345.42,,SSW,,-5.86,101882.2,101126.96,
020HI,2024-01-15T17:00:00Z,80560.0,11.3,29.03,2.752,207.7,3.498,0.0,6.489,10.822,,8.511,0.0,49.9,56.4,53.4,12.74,-86.01,-2.78,-83.23,0.53,261.87,345.1,,SSW,,-6.2,101869.55,101124.54,
020HI,2024-01-15T17:05:00Z,80560.0,11.222,29.12,2.793,209.8,4.275,0.0,6.5,10.811,,8.478,0.0,49.9,56.4,53.4,12.74,-84.2,-0.85,-83.35,0.58,261.69,345.05,,SSW,,-6.23,101869.55,101130.71,
020HI,2024-01-15T17:10:00Z,80570.0,11.211,28.51,2.835,207.0,4.054,2.48,6.489,10.778,,8.539,0.0,49.9,56.4,53.4,12.74,-81.27,1.53,-82.8,0.94,261.9,344.7,,SSW,,-6.51,101882.2,101144.14,
020HI,2024-01-15T17:15:00Z,80570.0,11.128,29.07,2.649,208.7,3.941,5.31,6.5,10.8,,8.511,0.0,49.9,56.4,53.4,12.75,-78.12,4.4,-82.52,0.91,262.12,344.64,,SSW,,-6.33,101882.2,101150.71,
